cycles cracks sample
0.00 0.90 1
0.01 0.95 1
0.02 1.00 1
0.03 1.05 1
0.04 1.12 1
0.05 1.19 1
0.06 1.27 1
0.07 1.35 1
0.08 1.48 1
0.09 1.64 1
0.00 0.90 2
0.01 0.94 2
0.02 0.98 2
0.03 1.03 2
0.04 1.08 2
0.05 1.14 2
0.06 1.21 2
0.07 1.28 2
0.08 1.37 2
0.09 1.47 2
0.10 1.60 2
0.00 0.90 3
0.01 0.94 3
0.02 0.98 3
0.03 1.03 3
0.04 1.08 3
0.05 1.13 3
0.06 1.19 3
0.07 1.26 3
0.08 1.35 3
0.09 1.46 3
0.10 1.58 3
0.11 1.77 3
0.00 0.90 4
0.01 0.94 4
0.02 0.98 4
0.03 1.03 4
0.04 1.07 4
0.05 1.12 4
0.06 1.19 4
0.07 1.25 4
0.08 1.34 4
0.09 1.43 4
0.10 1.55 4
0.11 1.73 4
0.00 0.90 5
0.01 0.94 5
0.02 0.98 5
0.03 1.03 5
0.04 1.07 5
0.05 1.12 5
0.06 1.19 5
0.07 1.24 5
0.08 1.34 5
0.09 1.43 5
0.10 1.55 5
0.11 1.71 5
0.00 0.90 6
0.01 0.94 6
0.02 0.98 6
0.03 1.03 6
0.04 1.07 6
0.05 1.12 6
0.06 1.18 6
0.07 1.23 6
0.08 1.33 6
0.09 1.41 6
0.10 1.51 6
0.11 1.68 6
0.00 0.90 7
0.01 0.94 7
0.02 0.98 7
0.03 1.02 7
0.04 1.07 7
0.05 1.11 7
0.06 1.17 7
0.07 1.23 7
0.08 1.32 7
0.09 1.41 7
0.10 1.52 7
0.11 1.66 7
0.00 0.90 8
0.01 0.93 8
0.02 0.97 8
0.03 1.00 8
0.04 1.06 8
0.05 1.11 8
0.06 1.17 8
0.07 1.23 8
0.08 1.30 8
0.09 1.39 8
0.10 1.49 8
0.11 1.62 8
0.00 0.90 9
0.01 0.92 9
0.02 0.97 9
0.03 1.01 9
0.04 1.05 9
0.05 1.09 9
0.06 1.15 9
0.07 1.21 9
0.08 1.28 9
0.09 1.36 9
0.10 1.44 9
0.11 1.55 9
0.12 1.72 9
0.00 0.90 10
0.01 0.92 10
0.02 0.96 10
0.03 1.00 10
0.04 1.04 10
0.05 1.08 10
0.06 1.13 10
0.07 1.19 10
0.08 1.26 10
0.09 1.34 10
0.10 1.42 10
0.11 1.52 10
0.12 1.67 10
0.00 0.90 11
0.01 0.93 11
0.02 0.96 11
0.03 1.00 11
0.04 1.04 11
0.05 1.08 11
0.06 1.13 11
0.07 1.18 11
0.08 1.24 11
0.09 1.31 11
0.10 1.39 11
0.11 1.49 11
0.12 1.65 11
0.00 0.90 12
0.01 0.93 12
0.02 0.97 12
0.03 1.00 12
0.04 1.03 12
0.05 1.07 12
0.06 1.10 12
0.07 1.16 12
0.08 1.22 12
0.09 1.29 12
0.10 1.37 12
0.11 1.48 12
0.12 1.64 12
0.00 0.90 13
0.01 0.92 13
0.02 0.97 13
0.03 0.99 13
0.04 1.03 13
0.05 1.06 13
0.06 1.10 13
0.07 1.14 13
0.08 1.20 13
0.09 1.26 13
0.10 1.31 13
0.11 1.40 13
0.12 1.52 13
0.00 0.90 14
0.01 0.93 14
0.02 0.96 14
0.03 1.00 14
0.04 1.03 14
0.05 1.07 14
0.06 1.12 14
0.07 1.16 14
0.08 1.20 14
0.09 1.26 14
0.10 1.30 14
0.11 1.37 14
0.12 1.45 14
0.00 0.90 15
0.01 0.92 15
0.02 0.96 15
0.03 0.99 15
0.04 1.03 15
0.05 1.06 15
0.06 1.10 15
0.07 1.16 15
0.08 1.21 15
0.09 1.27 15
0.10 1.33 15
0.11 1.40 15
0.12 1.49 15
0.00 0.90 16
0.01 0.92 16
0.02 0.95 16
0.03 0.97 16
0.04 1.00 16
0.05 1.03 16
0.06 1.07 16
0.07 1.11 16
0.08 1.16 16
0.09 1.22 16
0.10 1.26 16
0.11 1.33 16
0.12 1.40 16
0.00 0.90 17
0.01 0.93 17
0.02 0.96 17
0.03 0.97 17
0.04 1.00 17
0.05 1.05 17
0.06 1.08 17
0.07 1.11 17
0.08 1.16 17
0.09 1.20 17
0.10 1.24 17
0.11 1.32 17
0.12 1.38 17
0.00 0.90 18
0.01 0.92 18
0.02 0.94 18
0.03 0.97 18
0.04 1.01 18
0.05 1.04 18
0.06 1.07 18
0.07 1.09 18
0.08 1.14 18
0.09 1.19 18
0.10 1.23 18
0.11 1.28 18
0.12 1.35 18
0.00 0.90 19
0.01 0.92 19
0.02 0.94 19
0.03 0.97 19
0.04 0.99 19
0.05 1.02 19
0.06 1.05 19
0.07 1.08 19
0.08 1.12 19
0.09 1.16 19
0.10 1.20 19
0.11 1.25 19
0.12 1.31 19
0.00 0.90 20
0.01 0.92 20
0.02 0.94 20
0.03 0.97 20
0.04 0.99 20
0.05 1.02 20
0.06 1.05 20
0.07 1.08 20
0.08 1.12 20
0.09 1.16 20
0.10 1.19 20
0.11 1.24 20
0.12 1.29 20
0.00 0.90 21
0.01 0.92 21
0.02 0.94 21
0.03 0.97 21
0.04 0.99 21
0.05 1.02 21
0.06 1.04 21
0.07 1.07 21
0.08 1.11 21
0.09 1.14 21
0.10 1.18 21
0.11 1.22 21
0.12 1.27 21
